#NSGA2
popsize 100
maxGen 100
numVar 10
numObj 2
numCons 10
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.38938
firstFrontCount	11
frontCount	14
avgEvalTime	0.00270498
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	
0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	2.98811	2.45	0	0	0	0	0	0	0	0	0	0	
0.410396	-0.293692	0.489042	0.714225	0.751795	0.854574	0.702581	-0.0682217	0.41239	0.339404	14.446	1.54149	0	0	0	0	0	0	0	0	0	0	
0.339845	0.44684	0.869126	-0.0184207	-0.114991	0.0656451	0.263364	0.715359	0.468791	0.0966919	11.1518	0.949313	0	0	0	0	0	0	0	0	0	0	
0.47842	0.738746	0.850753	0.654233	-0.0649823	0.732855	-0.21066	0.607911	0.303896	-0.214473	5.04674	1.51001	0	0	0	0	0	0	0	0	0	0	
0.967198	0.73834	0.643239	-0.230166	0.272068	0.28429	0.355431	0.217085	0.79232	0.696563	9.89737	1.69431	0	0	0	0	0	0	0	0	0	0	
-0.102187	0.959855	0.653206	0.876176	-0.273295	-0.177115	-0.299309	0.634519	0.724557	0.868116	8.32779	2.0015	0	0	0	0	0	0	0	0	0	0	
0.378484	0.361215	0.247659	0.866882	-0.176864	0.140843	0.953851	-0.21455	-0.223858	0.730013	10.1092	1.33828	0	0	0	0	0	0	0	0	0	0	
0.831803	-0.215004	0.126248	-0.00397904	-0.212373	-0.057489	-0.0131915	-0.135215	-0.159034	0.0835523	12.7611	0.426608	0	0	0	0	0	0	0	0	0	0	
0.263868	0.785332	0.430796	-0.166239	0.695703	-0.11716	0.433061	0.768927	0.0456779	0.419429	10.916	1.17706	0	0	0	0	0	0	0	0	0	0	
0.0492474	0.128371	-0.102106	0.43358	0.817011	-0.258329	-0.280017	-0.0856572	0.240847	0.342276	13.543	0.606234	0	0	0	0	0	0	0	0	0	0	
-0.101271	0.601723	-0.153197	0.00521344	0.756913	0.954743	0.170374	0.565736	0.290078	0.297482	16.855	1.201	0	0	0	0	0	0	0	0	0	0	
0.0930186	0.428088	-0.280812	0.0115603	0.434346	0.493868	0.0174501	0.180162	0.783133	0.28797	16.6854	0.716225	0	0	0	0	0	0	0	0	0	0	
