#NSGA2
popsize 100
maxGen 100
numVar 10
numObj 2
numCons 10
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.381491
firstFrontCount	10
frontCount	14
avgEvalTime	0.00272877
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	
0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	2.98811	2.45	0	0	0	0	0	0	0	0	0	0	
0.476379	0.797978	0.594073	-0.263013	-0.16444	-0.142998	0.327665	0.466113	-0.273782	-0.0738333	10.4245	0.869163	0	0	0	0	0	0	0	0	0	0	
0.220247	0.206872	-0.150812	-0.122351	0.120492	0.871655	0.186536	0.386605	0.0211539	0.98394	17.255	1.02808	0	0	0	0	0	0	0	0	0	0	
0.756144	0.916277	0.66133	0.37065	-0.00183376	0.781397	-0.019688	0.477047	0.720762	-0.286869	6.79519	1.7132	0	0	0	0	0	0	0	0	0	0	
-0.0379408	0.271151	0.133788	-0.122028	-0.28663	0.779164	-0.235351	0.525797	0.47927	0.71144	17.2061	0.932352	0	0	0	0	0	0	0	0	0	0	
0.806026	0.3792	0.936021	0.470345	0.387152	-0.227265	0.267068	-0.0687442	0.2837	0.789239	7.14813	1.4359	0	0	0	0	0	0	0	0	0	0	
0.45609	0.972352	0.377583	0.0795864	0.375478	-0.119223	0.749286	0.399064	0.866012	0.998507	10.1568	1.96263	0	0	0	0	0	0	0	0	0	0	
-0.029302	0.738675	-0.137683	0.463089	-0.149894	0.936583	0.804972	0.917783	-0.146084	-0.0977651	16.4098	1.60038	0	0	0	0	0	0	0	0	0	0	
0.89202	-0.273107	0.00953842	0.237363	0.377717	-0.14531	-0.0216148	0.418229	-0.0196006	0.987644	13.7417	1.12086	0	0	0	0	0	0	0	0	0	0	
0.955949	0.756034	0.646025	0.15815	0.269539	0.213474	-0.190318	0.77327	0.341203	0.470242	8.83901	1.50886	0	0	0	0	0	0	0	0	0	0	
0.399127	0.91872	0.772709	0.921694	0.339495	-0.111511	-0.1744	0.933885	-0.256323	0.639324	4.82566	1.97732	0	0	0	0	0	0	0	0	0	0	
0.763464	0.960018	0.880463	0.126228	0.880505	0.206539	0.260951	0.517672	0.927691	0.453746	5.15399	2.25809	0	0	0	0	0	0	0	0	0	0	
0.357456	0.209973	0.621749	0.85169	0.737444	-0.209457	-0.118019	0.705939	0.437955	0.813432	9.05932	1.61863	0	0	0	0	0	0	0	0	0	0	
0.612437	0.23162	0.792635	-0.070116	-0.261358	0.944351	-0.234096	-0.163515	-0.00785507	0.190957	9.40184	1.07004	0	0	0	0	0	0	0	0	0	0	
0.0651013	0.462296	0.283199	0.547463	-0.154208	0.942527	0.295191	-0.27962	0.704048	0.63894	13.2961	1.28963	0	0	0	0	0	0	0	0	0	0	
0.201884	0.363309	-0.135719	0.965797	0.934662	-0.0116328	0.118826	0.415871	0.518992	0.240169	13.0423	1.25588	0	0	0	0	0	0	0	0	0	0	
0.27703	0.660254	0.840361	0.853901	-0.145861	0.340515	0.264606	0.660907	0.456885	0.194637	5.78591	1.41935	0	0	0	0	0	0	0	0	0	0	
0.713856	0.259461	0.556646	-0.0933244	0.596539	0.773637	0.572089	0.793618	0.476493	0.506857	12.8032	1.64546	0	0	0	0	0	0	0	0	0	0	
0.458989	0.726317	0.470498	0.924286	0.833644	0.162116	0.0165073	0.166839	0.482405	0.125661	3.33237	1.40587	0	0	0	0	0	0	0	0	0	0	
-0.128206	0.402672	0.663052	0.765033	0.832869	0.16188	0.950935	0.0498451	0.816783	0.797917	12.7179	2.06697	0	0	0	0	0	0	0	0	0	0	
0.380977	0.867654	0.162779	-0.0592157	0.676912	0.489938	-0.147292	0.261811	0.549193	0.429788	9.94201	1.1014	0	0	0	0	0	0	0	0	0	0	
0.653938	0.615996	0.190549	0.546801	-0.264595	-0.119272	0.000203317	0.654429	0.12488	0.621219	10.5046	1.0282	0	0	0	0	0	0	0	0	0	0	
-0.105014	0.885689	0.248587	-0.280653	-0.251086	0.55861	0.225791	0.275005	0.0926307	-0.0231148	13.2049	0.723424	0	0	0	0	0	0	0	0	0	0	
0.148761	-0.131086	0.253196	0.437227	-0.152725	0.0517039	0.166946	-0.263461	0.59452	-0.236614	14.3466	0.413655	0	0	0	0	0	0	0	0	0	0	
0.818641	-0.1353	-0.174117	0.496896	0.476583	-0.0370235	0.209332	-0.227438	0.464575	0.51575	13.0007	0.88579	0	0	0	0	0	0	0	0	0	0	
0.609995	0.795725	0.653602	0.382134	0.857201	0.439878	0.89723	0.695956	-0.087041	0.433137	3.40534	1.99567	0	0	0	0	0	0	0	0	0	0	
-0.0156354	0.117282	0.649514	0.959938	0.453524	0.983045	0.551282	0.593746	0.39269	0.640728	14.4314	1.8753	0	0	0	0	0	0	0	0	0	0	
-0.0930125	0.857955	-0.298743	-0.159167	0.814256	0.819203	-0.120753	0.482316	0.703988	-0.206816	16.0591	1.4895	0	0	0	0	0	0	0	0	0	0	
0.820994	0.00907628	0.99564	0.454036	-0.1155	0.981199	0.802318	0.363014	0.483185	0.0568177	8.34766	1.92992	0	0	0	0	0	0	0	0	0	0	
-0.217502	0.13438	0.523502	0.394972	0.718636	0.24371	0.148048	0.806017	0.302433	0.476098	16.2251	1.03049	0	0	0	0	0	0	0	0	0	0	
0.673105	0.548424	0.23044	-0.176886	0.517822	0.91158	0.510971	0.656756	-0.0207824	-0.195308	11.5488	1.33417	0	0	0	0	0	0	0	0	0	0	
0.140926	0.160382	0.648323	0.733943	0.648064	0.297008	0.896432	0.678242	0.17925	0.996871	13.4767	1.90113	0	0	0	0	0	0	0	0	0	0	
0.942928	0.0587709	0.970646	-0.0211035	-0.177535	0.989549	-0.219571	0.80099	0.562785	0.526022	10.2727	2.06456	0	0	0	0	0	0	0	0	0	0	
0.00986995	0.767463	0.518323	0.682249	-0.0844458	0.428474	-0.263545	0.281409	0.636137	0.727624	9.24904	1.29835	0	0	0	0	0	0	0	0	0	0	
0.85998	0.652764	0.961564	-0.0643844	0.939622	0.133998	0.563068	-0.0526219	0.692027	0.709421	5.79483	2.14863	0	0	0	0	0	0	0	0	0	0	
0.245781	0.576994	-0.0447775	0.413331	0.0671075	0.341078	0.330532	-0.106552	0.673176	0.222131	12.8694	0.655064	0	0	0	0	0	0	0	0	0	0	
0.985781	0.309293	0.809208	0.69116	0.800587	0.303169	0.60092	0.445092	0.117686	-0.0119476	3.14642	1.753	0	0	0	0	0	0	0	0	0	0	
0.794023	0.759108	0.449514	0.605399	0.231445	0.374276	0.334344	0.418275	-0.27624	0.226912	6.25044	1.19174	0	0	0	0	0	0	0	0	0	0	
